Sr. No,Name of NPO,"Registration No,District (State)",Address,Sectors
87,AZIZAYAZDANI WELFARE FOUNDATION,"U88900JH2025NPL024184
EAST SINGHBUM (Jharkhand)","H NO.-520 KASIDIH BUSTEE, Jamshedpur, Jamshedpur, East Singhbhum- 831001, Jharkhand, Dhalbhumgarh, EAST SINGHBUM (Jharkhand) - 831001","Biotechnology, Children, Education & Literacy, Environment & Forests, Food Processing, Health & Family Welfare, Rural Development & Poverty Alleviation, Skill Development, Women's Development & Empowerment"
88,B.N.T.C. EDUCATIONAL FOUNDATION,"U80902JH2020NPL015505
JAMTARA (Jharkhand)","Hn 32 F1 New Town, jamatara, Jamtara, JAMTARA (Jharkhand) - 815351",--
89,BABA GURUDEV JHARKHANDI FOUNDATION,"U86900JH2025NPL023984
KODERMA (Jharkhand)","C/O JILWA DEVI, GIRI AT-PINDARO800-14, Kanko, Kodarma, Koderma- 825409, Jharkhand, KODEMA, KODERMA (Jharkhand) - 825409",--
90,BADAR RELIEF FOUNDATION,"022363
EAST SINGHBUM (Jharkhand)","HOUSE NO 10, ROAD NO 1 AZADNAGAR, East Singhbhum, EAST SINGHBUM (Jharkhand) - 832110",--
91,BADHATE KADAM FOUNDATION,"U88900JH2024NPL023329
BOKARO (Jharkhand)","C/o Krishna Murari Dutta, At Jainamore, Bokaro, Bandhdih, Bokaro, Bokaro, Jharkhand, India, 829301, Bokaro, BOKARO (Jharkhand) - 829301",--
92,BADRINATH SEWA FOUNDATION,"U88900JH2023NPL020600
HAZARIBAGH (Jharkhand)","C/OANIL KUMAR, PADMA, HAZARIBAG825411 JHARKHAND, HAZARIBAG, HAZARIBAGH (Jharkhand) - 825411",--
93,BAGAHA DEVELOPMENT FOUNDATION.,"U88900JH2024NPL021967
RANCHI (Jharkhand)","Dilip Patar gundu dasmile, Gundu, Hulhundu, Hulhundu, Ranchi, Ranchi- 835221, Jharkhand, Ranchi, RANCHI (Jharkhand) - 835221",--
94,BAHU KALYAN FOUNDATION,"U88900JH2025NPL024330
RANCHI (Jharkhand)","New Colony H.B. Road, Tharpakhana, Ranchi,, Namkum, RANCHI (Jharkhand) - 834001","Art & Culture, Children, Education & Literacy, Food Processing, Health & Family Welfare, Information & Communication Technology, Science & Technology, Skill Development, Sports"
95,BALIRAM SINGH WELFARE AND FOUNDATION,"U88900JH2024NPL023339
BOKARO (Jharkhand)","C/O USHA DEVI GUJRAT, COLONY NEAR SANKAT MOCHAN, Chas, Bokaro 827013, Jharkhand, Chas, BOKARO (Jharkhand) - 827013","Agriculture, Animal Welfare, Art & Culture, Drinking Water, Education & Literacy, Environment & Forests, Health & Family Welfare, Human Rights, Skill Development, Women's Development & Empowerment"
96,BALRAM MAHATO FOUNDATION,"U88900JH2025NPL025012
EAST SINGHBUM (Jharkhand)","HOUSE NO 2 BALRAM MAHATO ROAD ULIYAN KADMA KADMA EAST SINGHBHUM 831005 JHARKHAND, Chakulia, EAST SINGHBUM (Jharkhand) - 831005","Aged/Elderly, Agriculture, Animal Husbandry, Dairying & Fisheries, Animal Welfare, Art & Culture, Biotechnology, Children, Civic Issues, Dalit Upliftment, Differently Abled, Disaster Management, Drinking Water, Education & Literacy, Environment & Forests, Food Processing, Health & Family Welfare, Housing, Human Rights, Information & Communication Technology, Labour & Employment, Land Resources, Legal Awareness & Aid, Micro Finance (SHGs), Micro Small & Medium Enterprises, Minority Issues, New & Renewable Energy, Nutrition, Panchayati Raj, Religious, Right to Information & Advocacy, Rural Development & Poverty Alleviation, Science & Technology, Scientific & Industrial Research, Skill Development, Sports, Tourism, Tribal Affairs, Urban Development & Poverty Alleviation, Vocational Training, Water Resources, Women's Development & Empowerment, Youth Affairs"
97,BAMDEO EDUCATION AND SOCIAL DEVELOPMENT FOUNDATION,"U80903JH2022NPL018300.
DEOGHAR (Jharkhand)","GOPAL DUWARY, BILASI TOWN, DEOGHAR,, DEOGHAR, DEOGHAR (Jharkhand) - 814112",--
98,BANABURU MAHILA KISAN PRODUCER COMPANY LIMITED,"U01100JH2018PTC011153
RANCHI (Jharkhand)","Block Campus, Block Road Bundu, Bundu, RANCHI (Jharkhand) - 835204",--
99,BANKA FOUNDATION CHARITABLE TRUST,"AAETB1431G23PT01
RANCHI (Jharkhand)","307A,3RD FLOOR MANGAL MURTI HEIGHTS,HARMU ROAD RANCHI, Ratu, RANCHI (Jharkhand) - 834001","Art & Culture, Children, Drinking Water, Education & Literacy, Environment & Forests, Nutrition, Religious, Rural Development & Poverty Alleviation"
100,BANO PRAKHAND KHETIHAR PRODUCER COMPANY LIMITED,"UO1611JH2023PTCO20187
SIMDEGA (Jharkhand)","C/o Bela Barjo,S/o Lt.Mikhail Barjo,R/o Bano, Kolebira,Simdega,Bano,Bano,Simdega-835201,Jharkhand, Bano, SIMDEGA (Jharkhand) - 835201",--
101,BASWA MEMORIAL FOUNDATION,"U85499JH2025NPL024002
KODERMA (Jharkhand)","C/O PANKAJ SINGH , PATHALDIHA , LARIYADIH, Pathaldiha, Kodarma, Koderma- 825410, Jharkhand, Domchanch, KODERMA (Jharkhand) - 825410",Education & Literacy
102,BATHNA FOUNDATION,"U85300JH2022NPL018075
RANCHI (Jharkhand)","C/O PRADEEP KR DUBEY , SAKET NAGAR , DORANDA ,RANCHI, RANCHI, RANCHI (Jharkhand) - 834002",--
103,BESRA UTTHAN FOUNDATION,"U85109JH2025NPL025371
RANCHI (Jharkhand)","C/o Lakhan Besra, Bandh Gari, Dipa Toli, H.B Road,, Kanke, RANCHI (Jharkhand) - 834009","Aged/Elderly, Agriculture, Animal Husbandry, Dairying & Fisheries, Animal Welfare, Art & Culture, Biotechnology, Children, Civic Issues, Dalit Upliftment, Differently Abled, Disaster Management, Drinking Water, Education & Literacy, Environment & Forests, Food Processing, Health & Family Welfare, HIV/AIDS, Housing, Human Rights, Information & Communication Technology, Labour & Employment, Land Resources, Legal Awareness & Aid, Micro Finance (SHGs), Micro Small & Medium Enterprises, Minority Issues, New & Renewable Energy, Nutrition, Panchayati Raj, Prisoner's Issues, Religious, Right to Information & Advocacy, Rural Development & Poverty Alleviation, Science & Technology, Scientific & Industrial Research, Skill Development, Sports, Tourism, Tribal Affairs, Urban Development & Poverty Alleviation, Vocational Training, Water Resources, Women's Development & Empowerment, Youth Affairs"
104,BEST WAY HELP FOUNDATION,"149586
RANCHI (Jharkhand)","C/o Rina Sarkar, Tagore Hill Road, Ranchi, RANCHI (Jharkhand) - 834001",--
105,BGYUVA FOUNDATION,"U88900JH2023NPL020185
SARAIKELA KHARSAWAN (Jharkhand)","Road No. H -Adityapur Village Jamshedpur, Seraikelakharsawan, Jharkhand-831013, Jamshedpur, SARAIKELA KHARSAWAN (Jharkhand) - 831013",--
106,BHARTIY PRIVATE TEACHERS ASSOCIATION,"U85500JH2023NPL021099
SARAIKELA KHARSAWAN (Jharkhand)","VIKASNAGAR, NEAR R.S., BOREWELL STATION ROAD, GAMHARIA, SERAIKELA-KHARSAWAN, JHARKHAND-832108, INDIA., Gamharia, SARAIKELA KHARSAWAN (Jharkhand) - 832108",--
107,BHIMBIRSA IMMENSE FOUNDATION,"U74999JH2018NPL012015
RAMGARH (Jharkhand)","Ranchi Road,Coperative colony, Sewta, Mandu, Ramgarh Cantt, Hazaribagh, Jharkhand, India 829117, Ramgarh, RAMGARH (Jharkhand) - 829117",--
108,BIKAS SEVA FOUNDATION,"U88900JH2025NPL024549
DHANBAD (Jharkhand)","C/O RITA DEVI, KISTOPUR, AMAGHATA, Gobindpur, Dhanbad, Jharkhand 828109, Gobindpur, DHANBAD (Jharkhand) - 828109","Agriculture, Animal Welfare, Art & Culture, Children, Differently Abled, Education & Literacy, Environment & Forests, Health & Family Welfare, Human Rights, Legal Awareness & Aid, Rural Development & Poverty Alleviation, Skill Development"
109,BIOTAGREEN FOUNDATION,"U01301JH2024NPL023559
RANCHI (Jharkhand)","H NO1 CHAOUDHARYS HOUSE SIDDHIVINAYAK LANE KOK 2 BARIATU, Ranchi, RANCHI (Jharkhand) - 834009",--
110,BIRSA MUNDA FOUNDATION,"1728
RANCHI (Jharkhand)","SPD VILLA,BESIDE-CENTRAL ACADEMY SCHOOL KANKE, KANKE ROAD, RANCHI-834008, Ranchi, RANCHI (Jharkhand) - 834008",--
111,BIRSA SECURITY AND SERVICE SETTLEMENT,"155
RANCHI (Jharkhand)","|At.Mahabirnagar Housing Colony, Argora, Rnachi, Jharkhand, Ranchi, RANCHI (Jharkhand) - 834002",--
112,BIRSA VAHINI FOUNDATION,"U86900JH2024NPL022291
RANCHI (Jharkhand)","FLATNO6C,6THFLOOR,BLOCK B, ASSRI HERITAGE CITY,HESAG, Hatia , Ranchi- 834003, Jharkhand, Ranchi, RANCHI (Jharkhand) - 834003",--
113,BIRSAKALYAN UTTHAN FOUNDATION,"U85300JH2022NPL017941
PALAMU (Jharkhand)","1761,EMALI KISHUN, PATAN,, PALAMU, PALAMU (Jharkhand) - 822123",--
114,BISHU FOUNDATION,"U85301JH2024NPL022539
RANCHI (Jharkhand)","RAVI STEEL JHIRI VIVEKANAND COLONY ROAD NO.3P.O.KAMREP.S. RATU PIN835222DIST RANCHI STATEJHARKHAND, RANCHI, RANCHI (Jharkhand) - 835222",--
115,BLESS N BLISS FOUNDATION,"U85300JH2021NPL016216
RANCHI (Jharkhand)","C/O PRAKASH CHOURASIA,SHIVDAYAL NAGAR, ARGORA,BYPASS ROAD,NEAR AMRIT HOSPITAL, RANCHI,JHARKHAND834002, RANCHI, RANCHI (Jharkhand) - 834002",--
116,BLIND MANAV KALYAN FOUNDATION,"U88900JH2024NPL022965
DHANBAD (Jharkhand)","BASANT SWARNKAR, 0, SRI RAM NAGAR, CHANDMARI, DHANBAD, DHANBAD, DHANBAD (Jharkhand) - 826001",--
117,BLISSFUL PEOPLE FOUNDATION,"U85104JH2023NPL021702
CHATRA (Jharkhand)","Line Mohalla at Madarsa, Rashidul Uloom, Chatra (Chatra), Chatra, Chatra- 825401, Jharkhand, Chatra, CHATRA (Jharkhand) - 825401",--
118,BLOOMLINE AGRO PRODUCER COMPANY LIMITED,"U01499JH2025PTC023975
RANCHI (Jharkhand)","H NO 13 ITKI RANCHI JH 835301, Itki, RANCHI (Jharkhand) - 835301","Aged/Elderly, Agriculture, Animal Husbandry, Dairying & Fisheries, Animal Welfare, Art & Culture, Biotechnology, Children, Differently Abled, Education & Literacy, Environment & Forests, Food Processing, Health & Family Welfare, Housing, Human Rights, Information & Communication Technology, Micro Finance (SHGs), Science & Technology, Skill Development, Urban Development & Poverty Alleviation, Women's Development & Empowerment"
119,BLUE HORIZON FEDERATION,"U88900JH2023NPL020449
RANCHI (Jharkhand)","C/O AMIT KUMAR SINGH,0,UKRID,ORMANJHI,ORMANJHI,RANCHI-835219, RANCHI, RANCHI (Jharkhand) - 835219",--
120,BODHYUKTI FOUNDATION,"U85490JH2025NPL025568
GIRIDIH (Jharkhand)","105 AT SIHODIH, NEAR OLD CEMENT FACTORY, Giridih, GIRIDIH (Jharkhand) - 815301","Children, Civic Issues, Education & Literacy, Environment & Forests, Health & Family Welfare, HIV/AIDS, Minority Issues, New & Renewable Energy, Nutrition, Panchayati Raj, Rural Development & Poverty Alleviation, Urban Development & Poverty Alleviation, Vocational Training, Water Resources, Women's Development & Empowerment, Youth Affairs"
121,BORIA JAN JAAN SEVA FOUNDATION,"U88900JH2024NPL023505
DUMKA (Jharkhand)","NONIHAT RAMGARH ROAD DUMKA BURHDANGAL SK ENTERPRISE BOURIA RAMGARH, DUMKA, DUMKA (Jharkhand) - 814145",--
122,BORN FOR VISION FOUNDATION,"018051
RANCHI (Jharkhand)","Sec 9, Type - DT, QR. No.- 1464, HEC Colony, Dhurwa, Nagri, RANCHI (Jharkhand) - 834004","Animal Welfare, Art & Culture, Civic Issues, Education & Literacy, Environment & Forests, Health & Family Welfare, Human Rights, Nutrition, Rural Development & Poverty Alleviation, Sports, Urban Development & Poverty Alleviation, Women's Development & Empowerment"
123,BRAHMARSHI EDUCATION FOUNDATION,"U80902JH2019NPL013164
RANCHI (Jharkhand)","PLOT NO. 80, HERITAGE CITY, GETLATU,RANCHIJharkhand, India, 835217, Ranchi, RANCHI (Jharkhand) - 835217",--
124,BRIGHT HOPE FOUNDATION,"023919
HAZARIBAGH (Jharkhand)","Brij K.Prasad, Shivdayal, Nagar, Kadma, Katkamdag ,Hazaribagh, Jharkhand, Hazaribag, HAZARIBAGH (Jharkhand) - 825301","Legal Awareness & Aid, Right to Information & Advocacy, Skill Development"
125,BRIGHT UMEED FOUNDATION,"022792
LOHARDAGA (Jharkhand)","ANANT KUNJ HATIYA GARDEN, NEAR KALI MANDIR, Lohardaga, Lohardaga, Lohardaga, Jharkhand, India, 835302, LOHARDAGA, LOHARDAGA (Jharkhand) - 835302",--
126,BRIGHTER STEPS FOUNDATION,"025081
DHANBAD (Jharkhand)","F.NO.504, BLOCK A ORCHID, LIFESTYLE APARTMENT,Indian School Of Mines, Dhanbad, Dhanbad, Jharkhand, India,826004, Dhanbad-Cum-Kenduadih-Cum-Jagata, DHANBAD (Jharkhand) - 826004","Aged/Elderly, Agriculture, Animal Husbandry, Dairying & Fisheries, Animal Welfare, Art & Culture, Biotechnology, Children, Civic Issues, Dalit Upliftment, Differently Abled, Disaster Management, Drinking Water, Education & Literacy, Environment & Forests, Food Processing, Health & Family Welfare, HIV/AIDS, Housing, Human Rights, Information & Communication Technology, Labour & Employment, Land Resources, Legal Awareness & Aid, Micro Finance (SHGs), Micro Small & Medium Enterprises, Minority Issues, New & Renewable Energy, Nutrition, Panchayati Raj, Prisoner's Issues, Religious, Right to Information & Advocacy, Rural Development & Poverty Alleviation, Science & Technology, Scientific & Industrial Research, Skill Development, Sports, Tourism, Tribal Affairs, Urban Development & Poverty Alleviation, Vocational Training, Water Resources, Women's Development & Empowerment, Youth Affairs"
127,Brighton valley foundation,"U80900JH2019NPL013216
DHANBAD (Jharkhand)","Binod Nagar, Dhanbad, DHANBAD, DHANBAD (Jharkhand) - 826001",--
128,BRING BACK INDIAN CULTURE FOUNDATION,"U85300JH2022NPL019524
EAST SINGHBUM (Jharkhand)","C/O LALLAN PRASAD RAI S/OLATE LAXMAN RAI NEAR KALI MANDIR LAL TAND BIRSANAGAR-1B, PURBA SINGHBHUM, BIRSANAGAR, JHARKHAND, INDIA, 831019LAND MARK -NEAR ASTHA TWIN CITY, PURBA SINGHBHUM, EAST SINGHBUM (Jharkhand) - 831019",--
129,BULAHAT FOUNDATION,"U85300JH2022NPL018772
DEOGHAR (Jharkhand)","C/O S/O TAJAMMUL KHAN, TITAYATAR MADHUPUR, DEOGHAR, Deoghar, Jharkhand, India, 815353, DEOGHAR, DEOGHAR (Jharkhand) - 815353",--
130,BYTECODE EDUCATIONAL FOUNDATION,"U80902JH2022NPL019754
DUMKA (Jharkhand)","BYTECODE EDUCATIONAL FOUNDATION C/O SAMRI HANSDA, W/O SIMON HEMBROM, GOPIKANDAR, NEAR BAGLA MANDIR, DUMKA, DUMKA, JHARKHAND, INDIA, 814103, Dumka, DUMKA (Jharkhand) - 814103",--
131,CAID FOUNDATION,"014564
GODDA (Jharkhand)","GANGTA KHURD, EAST GALI OF KALI MANDIR POPS- GODDA GODDA Godda JH 814133 IN, Godda, GODDA (Jharkhand) - 814133",--
132,Careask Foundation,"U85300JH2022NPL019093
DEOGHAR (Jharkhand)","TO SANJAY KUMAR SINGH JATAHI DEOGHAR COLLEGE MORE NEAR HANUMAN MANDIRDEOGHAR JHARKHAND 814112, Deoghar, DEOGHAR (Jharkhand) - 814112",--
133,CAREMIISAAQ FOUNDATION,"U86900JH2024NPL023528
RANCHI (Jharkhand)","Flat No. A2, 1st Floor, Block B, Marwah App, Bariatu, Ranchi, Ranchi- 834009, Jharkhand, RANCHI, RANCHI (Jharkhand) - 834009",--
134,CHATURBHUJRAJESHWARI FOUNDATION,"U85500JH2024NPL022736
BOKARO (Jharkhand)","C/O Ranju Upadhyay, Gujarat Colony PO-PS Chas, Chas Bazar, Chas, BOKARO (Jharkhand) - 827013",--
135,CHHOTANAGPUR WELFARE FOUNDATION,"U80902JH2023NPL019842
RANCHI (Jharkhand)","CHIRAUNDHI, KANKE, MORABADI, RANCHI, RANCHI (Jharkhand) - 834006",--
136,CHOTANAGPUR DIOCESAN TRUST ASSOCIATION,"U91900JH1920NPL000015
RANCHI (Jharkhand)","BISHOPS LODGE, OLD H B ROAD, POST BOX NO. 1, ranchi, RANCHI (Jharkhand) - 834001",--
137,CHOWPAYA HOUSE FOUNDATION,"U88900JH2023NPL021414
DHANBAD (Jharkhand)","CHOWPAYA HOUSE FOUNDATION C/O BALLU, GADDA JHARIA, Jharia, Dhanbad, Dhanbad- 828111, Jharkhand, JHARIA, DHANBAD (Jharkhand) - 828111",--
138,CHUNU MARAIYA MEMORIAL FOUNDATION,"U88900JH2024NPL022826
GODDA (Jharkhand)","Vill-Jiyajori PO Paharpur, PS Sundarpahari, Sunder Pahari, Godda, Sundar Pahari, Jharkhand, India, 814156, Godda, GODDA (Jharkhand) - 814156","Art & Culture, Education & Literacy, Environment & Forests, Health & Family Welfare, Human Rights, Labour & Employment, Rural Development & Poverty Alleviation, Skill Development, Vocational Training, Women's Development & Empowerment"
139,CIIE IIT (ISM) DHANBAD FOUNDATION,"U72100JH2024NPL022094
DHANBAD (Jharkhand)","Indian Institute of Technology (Indian School of Mines), Dhanbad-826004, Dhanbad, DHANBAD (Jharkhand) - 826004",--
140,CIVISITY FOUNDATION,"169850
LATEHAR (Jharkhand)","C/O Prabhu Yadav, At Matnag, PO Barwaiya, PS Manika, Dist Latehar, Manika, LATEHAR (Jharkhand) - 822126","Aged/Elderly, Children, Civic Issues, Dalit Upliftment, Labour & Employment, Legal Awareness & Aid, Nutrition, Panchayati Raj, Prisoner's Issues, Right to Information & Advocacy, Rural Development & Poverty Alleviation, Skill Development, Vocational Training, Women's Development & Empowerment, Youth Affairs"
141,CKVM NEIGHBOURS CHARITY FOUNDATION,"U88100JH2025NPL024663
GODDA (Jharkhand)","C/O- NEHARULAL MADAIYA, VILL-MAHULA, Boarijore, Boarijore, Godda- 813208, Jharkhand, Boarijor, GODDA (Jharkhand) - 813208","Agriculture, Animal Husbandry, Dairying & Fisheries, Art & Culture, Biotechnology, Children, Civic Issues, Dalit Upliftment, Differently Abled, Drinking Water, Education & Literacy, Environment & Forests, Health & Family Welfare, HIV/AIDS, Housing, Human Rights, Information & Communication Technology, Labour & Employment, Land Resources, Legal Awareness & Aid, Minority Issues, New & Renewable Energy, Nutrition, Religious, Rural Development & Poverty Alleviation, Science & Technology, Skill Development, Tribal Affairs, Water Resources, Women's Development & Empowerment, Youth Affairs"
142,CME ARYAVART FOUNDATION,"U85500JH2025NPL024789
DHANBAD (Jharkhand)","FF-25, FF-26, FF-27 First Floor, Aastha Prithvi Trade Centre, Bekarbandh Dhanbad-826001, Baghmara-Cum-Katras, DHANBAD (Jharkhand) - 826001","Education & Literacy, Health & Family Welfare, HIV/AIDS, Nutrition, Science & Technology, Scientific & Industrial Research, Skill Development, Women's Development & Empowerment"
143,COALFIELD EDUCATIONAL TRUST,"2886/77
RAMGARH (Jharkhand)","Ala Anglaise School, Bhurkunda Deoria Bargawan Patratu Ramgarh Jharkhand PIN Code 829106, Patratu, RAMGARH (Jharkhand) - 829106","Education & Literacy, Health & Family Welfare, Legal Awareness & Aid, Panchayati Raj, Science & Technology, Skill Development, Sports, Tribal Affairs, Women's Development & Empowerment, Youth Affairs"
144,COGNISAPIEN WELFARE FOUNDATION,"U88900JH2024NPL023179
EAST SINGHBUM (Jharkhand)","02176 4/B, VIJAY NAGAR, GOLMURI, JAMSHEDPUR, Agrico, East Singhbhum, Agrico, Jharkhand, India, 831009, Jamshedpur, EAST SINGHBUM (Jharkhand) - 831009",--
145,COUNCIL FOR SUSTAINED EMPOWERMENT BY RELIEF VISION & EMPATHY,"U88900JH2023NPL021531
RANCHI (Jharkhand)","EWS 80 HARMU HOUSING COLONY, Ranchi, RANCHI (Jharkhand) - 834002",--
146,COUNTRY CRICKET CLUB,"U92410JH2012NPL000254
RANCHI (Jharkhand)","COUNTRY CRICKET CLUB 605 PANCHWATI GARDENS BARIATU, RANCHI, RANCHI (Jharkhand) - 834009",--
147,CPD SKILL AND TECHNOLOGY PRIVATE LIMITED,"U72900JH2019PTC013576
DHANBAD (Jharkhand)","015, Near Shiv Mandir, Rahargora, Dhaiya, Dhanbad(Jharkhand), Dhanbad, DHANBAD (Jharkhand) - 826001",--
148,CSVL WELFARE FOUNDATION,"U85300JH2021NPL016677
DUMKA (Jharkhand)","C/O ANIL CHANDRA MANDAL, AT KHIJURIA, DUMKA, Dumka, Jharkhand, India, 814101, DUMKA, DUMKA (Jharkhand) - 814101",--
149,CUREREBA HEALTH AND DEVELOPMENT FOUNDATION,"U88900JH2025NPL024458
RANCHI (Jharkhand)","ARA, SIDHATOLI, MOHILONG, ANGARA, Angara, RANCHI (Jharkhand) - 835103",Health & Family Welfare
150,CUREYA HELPING FOUNDATION,"U88900JH2024NPL023386
SAHEBGANJ (Jharkhand)","Railway Colony Barharwa,Post Office Barharwa, Dist -Sahibganj Jharkhand Pin Code-816101, Rajmahal, SAHEBGANJ (Jharkhand) - 816101","Education & Literacy, Health & Family Welfare, Human Rights, Labour & Employment, Rural Development & Poverty Alleviation, Skill Development, Women's Development & Empowerment"
151,CYBERGYAN INFOSKILL PRIVATE LIMITED,"U74999JH2019PTC012832
SARAIKELA KHARSAWAN (Jharkhand)","Cybergyan infoskill Private Limited H.No.-181, Near Shiv Mandir, Bankapara, Gamharia, Seraikella-Kharswan, Seraikela, Jharkhand, India-823108, Adityapur, SARAIKELA KHARSAWAN (Jharkhand) - 823108",--
152,DARIDRANARAYAN LIVELIHOOD PROMOTION COUNCIL,"U85200JH2018NPL011274
RANCHI (Jharkhand)","HB-21, WNO-44 TONGRI TOLI OPP HUKT AGENCY ARGORA AGINCY RANCHI Ranchi JH 834001 INDIA, RANCHI, RANCHI (Jharkhand) - 834001",--
153,DARS BUSINESS CREATIONS INDIA FEDERATION,"U88900JH2024NPL022102
RANCHI (Jharkhand)","NEW AG COLONY KADRU RANCHI JHARKHAND 834002, RANCHI, RANCHI (Jharkhand) - 834002",--
154,DARSHANI DEVI SEWA FOUNDATION,"U85500JH2023NPL021025
BOKARO (Jharkhand)","384 SIJUA BASTI KARMATAND DIST BOKARO JHARKHAND BOKARO BOKARO 828404, BOKARO, BOKARO (Jharkhand) - 828404",--
155,DASOMI ANITA BRIGHT FUTURE FOUNDATION,"U85500JH2023NPL021508
PAKUR (Jharkhand)","Vill-Gouripur, post-Sitapahari,pakur,Jharkhand,816107, Pakur, PAKUR (Jharkhand) - 816107","Children, Education & Literacy, Health & Family Welfare, Rural Development & Poverty Alleviation, Science & Technology, Skill Development, Vocational Training"
156,DAUNIR BODRA FOOTBALL & SPORTS FOUNDATION,"U88900JH2024NPL023331
RANCHI (Jharkhand)","C/O CHARLIEADWIN BODRA, BARGAWAN, Namkum, Ranchi, Ranchi- 834010, Jharkhand, Ranchi, RANCHI (Jharkhand) - 834010",--
157,DAYTON FOUNDATION,"U85300JH2023NPL019869
CHATRA (Jharkhand)","C/o. Ramjee Mishra, Village Mishroul, Post Tapej, Chatra Chatra JH 825401 IN, CHATRA, CHATRA (Jharkhand) - 825401",--
158,DCI SOCIAL WELFARE FOUNDATION,"U85300JH2020NPL015678
DUMKA (Jharkhand)","KATHIKUND ROAD, TALDIH-50, PLOT NO-1062,, PAKURIA,, PAKUR, Dumka, Jharkhand, India, 816103, Dumka, DUMKA (Jharkhand) - 816103",--
159,DEEMANISH FOUNDATION,"U88900JH2025NPL025183
DEOGHAR (Jharkhand)","C/O- DEEPAK, VILL-BHANDARO, POST- SARWAN, THANA-SARWAN, DIST-DEOGHAR, JHARKHAND, 814150, Sarwan, DEOGHAR (Jharkhand) - 814150","Aged/Elderly, Agriculture, Animal Husbandry, Dairying & Fisheries, Animal Welfare, Art & Culture, Biotechnology, Children, Civic Issues, Dalit Upliftment, Differently Abled, Disaster Management, Drinking Water, Education & Literacy, Environment & Forests, Food Processing, Health & Family Welfare, HIV/AIDS, Housing, Human Rights, Information & Communication Technology, Labour & Employment, Land Resources, Legal Awareness & Aid, Micro Finance (SHGs), Micro Small & Medium Enterprises, Minority Issues, New & Renewable Energy, Nutrition, Panchayati Raj, Prisoner's Issues, Religious, Right to Information & Advocacy, Rural Development & Poverty Alleviation, Science & Technology, Scientific & Industrial Research, Skill Development, Sports, Tourism, Tribal Affairs, Urban Development & Poverty Alleviation, Vocational Training, Water Resources, Women's Development & Empowerment, Youth Affairs"
160,DEEPAK MULTI CARE FOUNDATION,"U88900JH2023NPL020953
DUMKA (Jharkhand)","DS DANGAL PARA, DUMKA -814101, JHARKHAND, DUMKA, DUMKA (Jharkhand) - 814101",--
161,DEEPDHWAJ FOUNDATION,"U88100JH2025NPL024470
HAZARIBAGH (Jharkhand)","HOUSE NO. 033, AT - BASARIA, Basaria, Chauparan, Hazaribag- 825406, Jharkhand, Barhi, HAZARIBAGH (Jharkhand) - 825406","Aged/Elderly, Agriculture, Animal Husbandry, Dairying & Fisheries, Animal Welfare, Art & Culture, Biotechnology, Children, Civic Issues, Dalit Upliftment, Differently Abled, Disaster Management, Drinking Water, Education & Literacy, Environment & Forests, Food Processing, Health & Family Welfare, HIV/AIDS, Housing, Human Rights, Information & Communication Technology, Labour & Employment, Land Resources, Legal Awareness & Aid, Micro Finance (SHGs), Micro Small & Medium Enterprises, Minority Issues, New & Renewable Energy, Nutrition, Panchayati Raj, Prisoner's Issues, Religious, Right to Information & Advocacy, Rural Development & Poverty Alleviation, Science & Technology, Scientific & Industrial Research, Skill Development, Sports, Tourism, Tribal Affairs, Urban Development & Poverty Alleviation, Vocational Training, Water Resources, Women's Development & Empowerment, Youth Affairs"
