Sr. No,Name of NPO,"Registration No,District (State)",Address,Sectors
93,AL-MADAD MILAN FOUNDATION,"U86900BR2025NPL076288
BHAGALPUR (Bihar)","S/O Shah Md Razzaque, Near Masjid, Sanhoulla, Sonhoula, Bhagalpur, Bihar - 813225, Sonhaula, BHAGALPUR (Bihar) - 813225","Agriculture, Animal Husbandry, Dairying & Fisheries, Animal Welfare, Art & Culture, Drinking Water, Education & Literacy, Environment & Forests, Health & Family Welfare, Land Resources, Rural Development & Poverty Alleviation, Science & Technology, Skill Development, Sports, Water Resources"
94,AL-SHAFI WELFARE FOUNDATION,"U85500BR2024NPL072539
BHAGALPUR (Bihar)","HOUSE NO-03 KHATA NO-05, ABDACHAK, BUZURGHARNA, JAGDISHPUR, BHAGALPUR, BHAGALPUR (Bihar) - 813015",--
95,ALAFUWW FOUNDATION,"U88900BR2024NPL070258
MADHUBANI (Bihar)","3rd Floor Al -Afuww Building , Gandhi Chowk to, Bypass Road, opposite HR Place, Sapta, Bihar, Madhubani, MADHUBANI (Bihar) - 847211",--
96,ALAK EDUCATION & LEARNING FOUNDATION,"U85300BR2022NPL056319
JAMUI (Bihar)","HOUSE NO 232, SHASTRI COLONY, NEW TOLA BIHARI, JAMUI, Jamui, Bihar, (811307), Jamui, JAMUI (Bihar) - 811307",--
97,ALBA FOUNDATION,"U84300BR2023NPL061885
PATNA (Bihar)","C/O ASIF ALI MD. AFROZ 313/293 , BIRLA MANDIR ROAD,OPP KHETAN SU PER MARKET NEAR S.R. INSTITUTE, BIRLA MANDIR ,Naya Tola, Patna-800004,Bihar, Patna, PATNA (Bihar) - 800004",--
98,ALFATAH WELFARE FOUNDATION,"U85300BR2022NPL059630
BANKA (Bihar)","Vill. Karma , Tola- Kurma , Panchkurma, Banka, BANKA (Bihar) - 813205",--
99,ALFAZUDDIN MEMORIAL SKILL DEVELOPMENT PRIVATE LIMITED,"U80904BR2017PTC03 348
KISHANGANJ (Bihar)","VILLBISHANPUR, PANCHAYAT - BISHANPUR, Kochadhaman, KISHANGANJ (Bihar) - 855101",--
100,ALHAYA FOUNDATION,"U85499BR2024NPL071367
MADHEPURA (Bihar)","WARD 03 MURLIGANJ, POst - MURLIGANJ, PS - MURLIGANJ, DISTRICT - MADHEPURA, PIN - 852122, Bihar, India, Murliganj, MADHEPURA (Bihar) - 852122","Dalit Upliftment, Education & Literacy"
101,ALI-TECH COMPUTER EDUCATION FOUNDATION,"U80900BR2021NPL055005
SAMASTIPUR (Bihar)","C/O MOHAMMAD IMTIYAZ ALAM, ALI COMPUTER,, VILL,TOLA PANCH-NARHAN, BLOCK- BIBHUTPUR, SAMASTIPUR, Samastipur, Bihar, India, 848211, Shamastipur, SAMASTIPUR (Bihar) - 848211",--
102,ALJAMIATUS SADIQUIA EDUCATIONAL FOUNDATION,"U59110WB2024PTC274275
SAHARSA (Bihar)","VILLAGEASHRAF CHAK, 3TOLAASHRAF CHAK, PANCH - SIMRI, BLOCK -SIMRI BAK, HTIYARPUR, SAHARSA, SAHARSA (Bihar) - 852127",--
103,ALKHIDMAT LILKHALK FOUNDATION,"058174
DARBHANGA (Bihar)","VILL- PALI, TOLA, PANCH- PALI, BLOCK, GHANSHYAMPUR, DARBHANGA, BIHAR, BIHAR, DARBHANGA (Bihar) - 847427",--
104,ALKVIN FOUNDATION,"U86100BR2023NPL065730
DARBHANGA (Bihar)","C/O ALKA RANI, ALLALPATTI, RASULPUR, KHURD POST DMC, DARBHANGA846003, DARBHANGA, DARBHANGA (Bihar) - 846003",--
105,ALLES HEALTH & EDUCATION FOUNDATION,"U85500BR2024NPL068318
PATNA (Bihar)","C/O SITARAM PRASAD SINHA, 981, R K NAGAR, R.M.S. Colony, Sampatchak, Patna- 800020, Bihar, Sampatchak, PATNA (Bihar) - 800020",--
106,Allied healthcare and education foundation,"077232
BEGUSARAI (Bihar)","Chandaur Bhagwanpur, Bhagwanpur, BEGUSARAI (Bihar) - 851133","Agriculture, Biotechnology, Education & Literacy, Environment & Forests, Food Processing, Health & Family Welfare, Information & Communication Technology, Legal Awareness & Aid, Micro Finance (SHGs), Micro Small & Medium Enterprises, Nutrition, Science & Technology, Skill Development, Vocational Training"
107,AMANAXMI VISION INDIA PRIVATE LIMITED,"U85500BR2025PTC075385
SAMASTIPUR (Bihar)","VILL ASADHAR DARHIA, BLOCK UJIYARPUR, Dadhia Asadhar, Samastipur, Samastipur- 848134, Bihar, Samastipur, SAMASTIPUR (Bihar) - 848134","Education & Literacy, Panchayati Raj, Skill Development"
108,AMANNA SOCIAL WELFARE FOUNDATION,"U85200BR2020NPL046619
PATNA (Bihar)","MANNA SOCIAL WELFARE FOUNDATION C/O-A.K. DUTTA VERMA, INCOME TAX COLONY,, BAHADURPUR, PATNA,, PATNA, Patna, Bihar, India, 800026, PATNA, PATNA (Bihar) - 800026",--
109,AMAR JYOTI FOUNDATION,"U85300BR2022NPL056308
BEGUSARAI (Bihar)","ROOM NO 1 SUSHIL NAGAR WARD NO 13 PO ULAW PS SINGHOUL BEGUSARAI, BEGUSARAI, BEGUSARAI (Bihar) - 851134",--
110,AMARDEEP EDUCATIONAL FOUNDATION,"U85499BR2023NPL065024
GAYA (Bihar)","C/O ARVIND PATHAK,MAHARANI ROAD,New Godown,Gaya,Gaya-823001,Bihar, gaya, GAYA (Bihar) - 823001",--
111,AMARPRATIVA GRASSROOT SUPPORT FOUNDATION,"U85300BR2022NPL059870
BEGUSARAI (Bihar)","BISHANPUR W43, COMMERCIL, BOSHANPUR, TIMIRZAPUR BANDWAR, BEGUSARAI, BEGUSARAI (Bihar) - 851129",--
112,AMARUT WAVE FOUNDATION,"U88100BR2024NPL070342
MUZAFFARPUR (Bihar)","KNAHI BHAWAN SARAYSAIYAD, ALI LENIN CHWOK WN 11, MUZAFFARPUR, MUZAFFARPUR, 842001, BIHAR, Muzaffarpur, MUZAFFARPUR (Bihar) - 842001",--
113,AMBASTHA FOUNDATION,"U86909BR2024NPL071167
VAISHALI (Bihar)","C/o Jitendra Kumar Bhaskar, TolaMangurahi, Hajipur Indl Area, Hajipur, Vaishali- 844101 Bihar, Hajipur, VAISHALI (Bihar) - 844102",--
114,AMBEDKAR INDUSTRIES ASSOCIATION,"U85300BR2021NPL052241
PURBI CHAMPARAN (Bihar)","C/O PHUL KUMARI, PANCH KOTWA, VILL KOTWA, TOLA KOTWA, BAJAR, BLOCK KOTWA, CHAMPARAN, East Champaran, Bihar, India, 845437, CHAMPARAN, PURBI CHAMPARAN (Bihar) - 845437",--
115,AMBIKASHARANSINGH VISHWA BANDHUT FOUNDATION,"U85300BR2021NPL050321
PATNA (Bihar)","C/0 Rabindra Singh Road no 6, Block B, Rajendra Nagar, Patna, Bihar, PATNA, PATNA (Bihar) - 801503",--
116,AMIEE ASSOCIATION,"U88100BR2024NPL069672
PATNA (Bihar)","S/O Junaid Asghar Haroon Nagar Sector 2 phulwarisharif patna, Patna, PATNA (Bihar) - 801505",--
117,AMISU FEDERATION,"U80900BR2021NPL055203
PATNA (Bihar)","C/O : Kundan Kumar Basera Apt Flat No 102 Judge Colony Danapur Patna Bihar, Patna, PATNA (Bihar) - 801503",--
118,AMRIT AYURVEDA FOUNDATION,"U85300BR2020NPL048512
PATNA (Bihar)","F NO 205 SHANTILOK APARTMENT NEAR MAZAR GALI SHEIKHPURA PATNA Bihar, PATNA, PATNA (Bihar) - 800014",--
119,AMRITA RAJ WELFARE FOUNDATION,"U88900BR2025NPL073157
BHAGALPUR (Bihar)","WARD 43, POSAN SAH LANE, MOHADDINAGAR, KUTUBGANJ, Mirjanhat, Jagdishpur, Bhagalpur- 812005, Bihar, Bhagalpur, BHAGALPUR (Bihar) - 812005",--
120,AMRP SAHYOG FOUNDATION,"066710
BHOJPUR (Bihar)","NAIKA TOLA MORE PIRO ROAD, WARD NO.14 JAGDISHPUR, Jagdishpur (Bhojpur), Bhojpur, Jagdishpur, Bihar, India, 802158, BHOJPUR, BHOJPUR (Bihar) - 802158",--
121,AN-SMILE FOUNDATION,"073694
KATIHAR (Bihar)","C/O Vato Khatun, Ward No2, Hathawara, Katihar, Falka, Jhagruchak, Katihar, Katihar, Bihar, India, 854108, Katihar, KATIHAR (Bihar) - 854108","Agriculture, Art & Culture, Rural Development & Poverty Alleviation, Skill Development, Sports, Tourism, Urban Development & Poverty Alleviation, Vocational Training, Water Resources, Women's Development & Empowerment, Youth Affairs"
122,ANAGH-FORUM FOR SUSTAINABLE OUTREACH,"061509
BUXAR (Bihar)","C/O SARSAWATI DEVI, NUAON, DUMRAON, BUXAR, BIHAR-802111, Dumraon, BUXAR (Bihar) - 802111","Art & Culture, Children, Civic Issues, Education & Literacy, Environment & Forests, Health & Family Welfare, Human Rights, Rural Development & Poverty Alleviation, Skill Development, Sports, Women's Development & Empowerment"
123,ANAIZA FOUNDATION,"U88900BR2025NPL077724
KISHANGANJ (Bihar)","C/O EJAZ ALAM, BHAURADAH BAHADURGANJ KISHANGANJ BIHAR - 855101, Kishanganj, KISHANGANJ (Bihar) - 855101","Aged/Elderly, Children, Education & Literacy, Health & Family Welfare, Nutrition, Rural Development & Poverty Alleviation, Skill Development, Urban Development & Poverty Alleviation, Women's Development & Empowerment"
124,ANAND BISHVNATH HAPPINESS FOUNDATION,"U88100BR2025NPL076582
PURBI CHAMPARAN (Bihar)","C/O RITA KUNWAR VILL KOTWA TOLA VAJPEI TOLA PAHARPUR ARERAJ EAST CHAMPARAN, Motihari, PURBI CHAMPARAN (Bihar) - 845458","Education & Literacy, Health & Family Welfare"
125,ANANTMOOL FOUNDATION,"U85300BR2021NPL055315
JAMUI (Bihar)","Bodhwan Talaw Jamui, Jamui, JAMUI (Bihar) - 811307",--
126,ANANYA ARAMBHA FOUNDATION,"055308
PATNA (Bihar)","1-7 TEXT BOOK COLONY, KESHRI NAGAR, Patna, PATNA, Bihar, India, 800024, Patna, PATNA (Bihar) - 800024",--
127,ANATS INDIA FOUNDATION,"U80302BR2022NPL061105
PATNA (Bihar)","C/O RAMESH CHAUDHARY,JAIKISHUN CHAUDHARY WARD NO 16, BEAPUR, MANER, Patna, PATNA, Bihar, India, 801503, PATNA, PATNA (Bihar) - 801503",--
128,ANGAPRADESH SAMRIDDH FOUNDATION,"U88900BR2024NPL067720
BHAGALPUR (Bihar)","C/O- RAMAN KUMAR, PANCH-JAGDISHPUR, JAGDISHPUR, BHAGALPUR 813105 BIHAR, BHAGALPUR, BHAGALPUR (Bihar) - 813105",--
129,ANGIKA SABHA FOUNDATION,"U85500BR2024NPL069939
BHAGALPUR (Bihar)","C/o Abha Purbay, W/o Sri Nitya Nand Sah, Bhagalpur, Bhagalpur, Jagdishpur, Bihar, India, 812001, Bhagalpur, BHAGALPUR (Bihar) - 812001",--
130,ANGSEVA SANKALP WOMEN FOUNDATION,"U85500BR2023NPL065228
BHAGALPUR (Bihar)","Suryalok Colony, Bagbari, Mirjanhat, Jagdishpur, BHAGALPUR (Bihar) - 812005","Education & Literacy, Women's Development & Empowerment"
131,ANI GLOW FOUNDATION,"U88900BR2025NPL074782
BANKA (Bihar)","Rangaon, Panjwara, Barahat, Banka-813110, Bihar, Banka, BANKA (Bihar) - 813110","Aged/Elderly, Art & Culture, Children, Civic Issues, Dalit Upliftment, Differently Abled, Education & Literacy, Health & Family Welfare, Skill Development, Vocational Training"
132,ANIMATION SECURITY SERVICES PVT. LTD.,"U74900BR2015PTC024615
PATNA (Bihar)","Mourya Vihar Colony, Transport nagar, Kumhrar, Patna800 026, Patna, PATNA (Bihar) - 800026",--
133,ANISHA CHARITABLE FOUNDATION,"U85300BR2021NPL054295
PATNA (Bihar)","402, Niharika Apartment, Sheikhpura, Patna, PATNA (Bihar) - 800014",--
134,ANITACHANDRA EDUCATIONAL FOUNDATION,"062397
SAMASTIPUR (Bihar)","ADARSH HOSPITAL C/O RAJ BHUSHAN CHAUDHARY,VILL-ROSERA(NP), TOLA -PT MUHLLA PANCH-ROSERA SAMASTIPURBR 848210 IN, ROSERA, SAMASTIPUR (Bihar) - 848210",--
135,ANJAAN JEE FOUNDATION,"U85500BR2023NPL064546
PATNA (Bihar)","Shri Sadan, Haridaspur, Anjaan Jee Marg, Khagaul, PATNA, PATNA (Bihar) - 801105",--
136,ANJANEY WELFARE FOUNDATION,"U88900BR2024NPL068281
MUNGER (Bihar)","S/O K. LAL, C. DARIYAPUR, WARD NO8, U-12, RAMPUR, Jamalpur (Munger), Munger, Jamalpur, Bihar, India, 811214, Jamalpur, MUNGER (Bihar) - 811214",--
137,ANKURAM EDUTECH FOUNDATION,"U80901BR2021NPL050231
PATNA (Bihar)","Flat No-103, Navya Enclave, Lane No-10, Bank Colony, Gola Road, Danapur, Patna, PATNA (Bihar) - 801503",--
138,ANMOL PRAYAS FOUNDATION,"U85100BR2021NPL054477
MUZAFFARPUR (Bihar)","Vill-Arazi Dharphari Tola, Arazi Dharphari Panch, Block-Paroo, Muzaffarpur, Bihar, 843120, Paroo, MUZAFFARPUR (Bihar) - 843120",--
139,ANMOLJIVAN SOCIAL WELFARE FOUNDATION,"U85300BR2021NPL053093
VAISHALI (Bihar)","vill lalganj tola lalganj block lalganj dist vaishali bihar pin 844121, hajipur, VAISHALI (Bihar) - 844121",--
140,ANSARI AID ASSOCIATION,"U85300BR2022NPL057226
VAISHALI (Bihar)","VILL-BHARATPUR SINGHARA TOLA- BHARATPUR SINGHARA BLOCK-MAHUA, Vaishali, VAISHALI (Bihar) - 844126",--
141,ANSE INSPIRE ACADEMY PRIVATE LIMITED,"U85500BR2024PTC071915
LAKHISARAI (Bihar)","W No- 16Barhiya Lakhisarai Barhiya Lakhisarai, Lakhisarai, LAKHISARAI (Bihar) - 811302",--
142,ANSIKA DEVELOPMENT FOUNDATION,"163419
PASHCHIM CHAMPARAN (Bihar)","C/O- SHIVJEE PRASAD, PURANI GUDRI NAYABAZAR,BETTAIH, WEST CHAMPARAN, BETTIAH, PASHCHIM CHAMPARAN (Bihar) - 845438",--
143,ANUGRAM RURAL DEVELOPMENT FOUNDATION,"U85300BR2019NPL041951
KATIHAR (Bihar)","North Side of T. V. Centre , Post Office: B.M.P -7, Katihar, Bihar , PIN-854106, Katihar, KATIHAR (Bihar) - 854106",--
144,ANUPAM BIHAR FOUNDATION,"066221
KHAGARIA (Bihar)","CO AMIT KUMAR AT PO PARBATTA PS PARBATTA, DIST KHAGARIA, Parbatta, Khagaria, Khagaria, Bihar, India, 851216, KHAGARIA, KHAGARIA (Bihar) - 851216",--
145,ANVAYA FOUNDATION,"U85300BR2022NPL059913
PATNA (Bihar)","NEAR VASTU VIHAR APPARTMENT AKLUCHAK MATHIYAPUR DANAPUR PATNA 801503 BIHAR, PATNA, PATNA (Bihar) - 801503",--
146,ANWARE E HIDAYAT FOUNDATION,"U88900BR2023NPL065862
BHAGALPUR (Bihar)","tola habibpur bhagalpur city jagdishpur bhagalpur pin code 812002, Jagdishpur, BHAGALPUR (Bihar) - 812002","Aged/Elderly, Agriculture, Animal Husbandry, Dairying & Fisheries, Animal Welfare, Art & Culture, Biotechnology, Children, Civic Issues, Dalit Upliftment, Differently Abled, Disaster Management, Drinking Water, Education & Literacy, Environment & Forests, Food Processing, Health & Family Welfare, Information & Communication Technology, Labour & Employment, Land Resources, Legal Awareness & Aid, Micro Finance (SHGs), Micro Small & Medium Enterprises, Minority Issues, New & Renewable Energy, Prisoner's Issues, Rural Development & Poverty Alleviation, Science & Technology, Scientific & Industrial Research, Skill Development, Urban Development & Poverty Alleviation, Water Resources, Women's Development & Empowerment"
147,ANWAREMUSTAFA EDUCATIONAL & CHARITABLE FOUNDATION,"U88900BR2024NPL072078
MUZAFFARPUR (Bihar)","C/O MD NOOR ALAM WARD NO 09 MARIPUR PAKKI SARAI MUSHAHARI MUZAFFARPUR BIHAR 842001, Muzaffarpur, MUZAFFARPUR (Bihar) - 842001",--
148,ANYKI CARE SERVICES FOUNDATION,"U88900BR2024NPL068655
PASHCHIM CHAMPARAN (Bihar)","C/o Vicky Kumar, No. 70, Chailabhar, Mohaddipur, Majhaulia Rs, West Champaran, Bettiah, Bihar, India, 845454, Bettiah, PASHCHIM CHAMPARAN (Bihar) - 845454",--
149,APNA KHET BAGAN FOUNDATION,"U80210BR2021NPL055225
SITAMARHI (Bihar)","Ward 11, Village Post Bathnaha, Sitamarhi, SITAMARHI (Bihar) - 843302","Agriculture, Animal Husbandry, Dairying & Fisheries, Education & Literacy, Environment & Forests, Food Processing, Labour & Employment, Rural Development & Poverty Alleviation, Skill Development, Tourism, Women's Development & Empowerment"
150,APOSTLE NISHA GUPTA MISSIONARIES FOUNDATION,"U88900BR2024NPL072582
PURNIA (Bihar)","C/O PUNAM DEVI, POLOGRAM, GULABBAGH, PURNEA-854326 BIHAR, PURNIA, PURNIA (Bihar) - 854326",--
151,APURVA MICRO SEWA FOUNDATION,"U85300UP2022NPL159560
ROHTAS (Bihar)","Ward no 05 Mohaniya road kochas, SASARAM, ROHTAS (Bihar) - 821112",--
152,APV CONNECT FOUNDATION,"U88900BR2025NPL077194
PATNA (Bihar)","C/O - SUSHIL KR PANDEY, LANE NO 5, POLICE COLONY, Danapur Cantt, Patna, Dinapur-Cum-Khagaul, Bihar, India, 801503, Dinapur-Cum-Khagaul, PATNA (Bihar) - 801503","Animal Welfare, Differently Abled, Health & Family Welfare, HIV/AIDS, Housing"
153,AQUBE WELFARE FOUNDATION,"U85300BR2022NPL060192
NALANDA (Bihar)","NDS-2, Main Road, EKANGARSARAI, HILSA,Nalanda,Bihar- 801302, Bihar, NALANDA (Bihar) - 801302",--
154,ARADHYA AMRIT VAHINI FOUNDATION,"U86900BR2024NPL071812
BANKA (Bihar)","HOUSE NO 107 GALI NO 3 GRAM CHILKAWAR MANJHAUNI THANA RAJAUN BANKA BIHAR-813109, BIHAR, BANKA (Bihar) - 813109",--
155,ARANJAN OPERATION CLEANUP GARBAGE MANAGEMENT PRIVATE LIMITED,"U39000BR2024PTC067820
PATNA (Bihar)","Road No-02, Magistrate Colony ,Near guru Sahay Lal Community Hall., Patna, PATNA (Bihar) - 800025",--
156,ARAS BHARAT UNITY FOUNDATION,"U88900BR2023NPL066515
PATNA (Bihar)","C/o Abhijeet K Sriwastawa, Kaliket Colony, Rupaspur, Dhanaut, Phulwari, Patna, PATNA (Bihar) - 801506",--
157,ARIHANTA PEACE FOUNDATION,"U88100BR2024NPL069607
GAYA (Bihar)","VILL- PLANKI SHAKHI, PO- GURARU, PS- KONCH, Guraru, GAYA (Bihar) - 824118","Agriculture, Children, Civic Issues, Dalit Upliftment, Education & Literacy, Environment & Forests, Health & Family Welfare, Human Rights, Panchayati Raj, Religious, Rural Development & Poverty Alleviation, Skill Development"
158,ARIKA EDUCATIONAL FOUNDATION,"U88900BR2025NPL073114
GAYA (Bihar)","C/O SHIVNANDAN TIWARI, KAIRIBARI, IMAMGANJ, Raniganj, Imamganj, GAYA (Bihar) - 824210","Agriculture, Art & Culture, Children, Disaster Management, Education & Literacy, Human Rights, Information & Communication Technology, Science & Technology, Urban Development & Poverty Alleviation, Women's Development & Empowerment"
159,ARION KALYAN EDUCATIONAL FOUNDATION,"U88900BR2024NPL068149
SARAN (Bihar)","C/O MD HASMUDDIN, VIL-TUJARPUR, Tujarpur, Chapra, Saran- 841442, Bihar, CHAPRA, SARAN (Bihar) - 841442",--
160,ARJUN-RAMKALI EDUCATION FOUNDATION,"U85500BR2025NPL076928
NALANDA (Bihar)","C/o Arjun Sharma, Bauli, Par, Mogal Kua, Sohsarai, Biharsharif, Nalanda, Biharsharif, Bihar, India, 803101., Bihar, NALANDA (Bihar) - 803101","Aged/Elderly, Agriculture, Animal Husbandry, Dairying & Fisheries, Animal Welfare, Children, Differently Abled, Drinking Water, Education & Literacy, Environment & Forests, Food Processing, Information & Communication Technology, Labour & Employment, Land Resources, Minority Issues, New & Renewable Energy, Nutrition, Panchayati Raj, Prisoner's Issues, Religious, Right to Information & Advocacy, Rural Development & Poverty Alleviation, Skill Development, Sports, Tourism, Tribal Affairs, Urban Development & Poverty Alleviation, Vocational Training, Water Resources, Women's Development & Empowerment, Youth Affairs"
161,AROGYA DHAM ANUPMA HEALTHCARE FOUNDATION,"U86900BR2024NPL067620
PATNA (Bihar)","RAM KRISHNA COLONY, R.N6, GAIGHAT, Bairia, Patna, PATNA (Bihar) - 800007",--
162,AROGYA GRAMIN HEALTHCARE FOUNDATION,"U85300BR2020NPL046121
PATNA (Bihar)","H-1209 ISHWARDAYAL HOSPITAL HANUMAN NAGAR KANKARBAGH PATNA, Patna, PATNA (Bihar) - 800020",--
163,AROGYA JEEVAN SOCIAL HEALTHCARE FOUNDATION,"U85300BR2022NPL055886
SAMASTIPUR (Bihar)","C/O RAJI AHMAD MIHIDDIN VILL BARAHI PANCH PUSAHO BLOCK BITHAN SAMASTIPUR Samastipur BR 848207 IN, SAMASTIPUR, SAMASTIPUR (Bihar) - 848207",--
164,ARRAVNARAYAN SEVA FOUNDATION,"U85490BR2025NPL077962
MUZAFFARPUR (Bihar)","C/o- Anil Prasad Thakur, Dumri,Mahammadpur Mobarak, Dumari, Muzaffarpur, Musahri, Bihar, India, 843119, Musahri, MUZAFFARPUR (Bihar) - 843119","Agriculture, Animal Husbandry, Dairying & Fisheries, Civic Issues, Drinking Water, Education & Literacy, Environment & Forests, Information & Communication Technology, Micro Finance (SHGs), Micro Small & Medium Enterprises, Skill Development, Urban Development & Poverty Alleviation, Women's Development & Empowerment, Youth Affairs"
165,ARS FOUNDATION FOR HEALTH AND EDUCATION,"U85490BR2024NPL072487
PATNA (Bihar)","Space No 2, First Floor, Block A, Aparna Complex, Opp St Michaels High School, Dighaghat, Patna, Patna, PATNA (Bihar) - 800011",--
166,ARSSM FOUNDATION,"U88900BR2024NPL071194
SAHARSA (Bihar)","Maharsi Mehi Yogashram C/O Swami Yoganand Sourbazar, Saharsa-852221, Bihar, Saur Bazar, SAHARSA (Bihar) - 852221","Environment & Forests, Rural Development & Poverty Alleviation"
167,ART OF COMMUNITY ENHANCEMENT FOUNDATION,"U74999BR2018NPL037992
PATNA (Bihar)","151/63, CHANDRA MAHARAJ KA GARH, NOON KA CHAURAHA, PATNA CITY, PATNA (Bihar) - 800008",--
168,ARUMA MICROCARE FOUNDATION,"U88900BR2023NPL062973
PASHCHIM CHAMPARAN (Bihar)","H/O YOGENDRA SAH, WN- 13,VILL- BISHUNPURWA, PO-MANWA, PS- SHIKARPUR, Manwa Parsi, Bettiah, West Champaran -845455, Bihar, BETTIAH, PASHCHIM CHAMPARAN (Bihar) - 845455",--
169,ARUSHIDURGA JANSEVA FOUNDATION,"U85499BR2025NPL073998
SARAN (Bihar)","C/o PUANSHAVAR ROY, VILL, CHAPRA, SARAN (Bihar) - 841311",--
170,ARYAARCHI WELFARE ASSOCIATION,"U85490BR2025NPL072915
PURBI CHAMPARAN (Bihar)","VILLAGE-RAMPUR MANORATH, POST OFFICE-PATAHI,POLICE STATION-PATAHI,DISTRICT-EAST CHAMPARAN BIHAR, Pakri Dayal, PURBI CHAMPARAN (Bihar) - 845457","Agriculture, Children, Disaster Management, Education & Literacy, Environment & Forests, Human Rights, Legal Awareness & Aid, Nutrition, Right to Information & Advocacy, Women's Development & Empowerment"
171,ARYABHATTA HEALTH EDUCATION AND DEVELOPMENT FOUNDATION,"U88900BR2025NPL073613
PATNA (Bihar)","601 SHANTI HERITAGE RUKANPURA BAILEY ROAD, PATNA, PATNA (Bihar) - 800014",--
172,Aryamann sinha foundation,"U85410BR2024NPL067358
PATNA (Bihar)","C/O D.V PATTY, FNO-302, OM NILAY B.C ROAD SK PURI, Patliputra, Phulwari, Patna- 800013, Bihar, Phulwari, PATNA (Bihar) - 800013","Aged/Elderly, Art & Culture, Dalit Upliftment, Differently Abled, Education & Literacy, Health & Family Welfare, Labour & Employment, Rural Development & Poverty Alleviation"
173,Asara Education and Welfare Foundation,"U85300BR2018NPL039491
SIWAN (Bihar)","C/o 127, Mustaque Ahmad,Bidhurti Hatta, Siwan-841226, Bihar, Siwan, SIWAN (Bihar) - 841226",--
174,ASARA JANKALYAN FOUNDATION,"U85420BR2024NPL067408
SIWAN (Bihar)","BIDHURTI HATTA, Siwan, Siwan, Siwan- 841226, Bihar, Siwan, SIWAN (Bihar) - 841226",--
175,ASEED FOUNDATION,"U80902BR2020NPL049775
MUZAFFARPUR (Bihar)","House No. 1 Simra, Srikant, Piar, Muzaffarpur, MUZAFFARPUR (Bihar) - 843115",--
176,ASHA JYOTI ANAND YOG PEETH FOUNDATION,"U85300BR2020NPL049708
KHAGARIA (Bihar)","C/o Dev DutPrasad,Mathurapur,Khagaria,Bihar,851204, Khagaria, KHAGARIA (Bihar) - 851204",--
177,Asha Raman foundation,"077434
SAMASTIPUR (Bihar)","PACHIYARI TABHAKA, WARD 5, Pandit Tol Tabhka, Samastipur- 848114, Bihar, Bibhutpur, SAMASTIPUR (Bihar) - 848114","Agriculture, Art & Culture, Children, Education & Literacy, Environment & Forests, Health & Family Welfare, Information & Communication Technology, Nutrition, Panchayati Raj, Religious, Skill Development, Sports, Urban Development & Poverty Alleviation, Women's Development & Empowerment"
178,ASHA SAVITRI FOUNDATION,"U88900BR2024NPL067859
PATNA (Bihar)","C/O AJAY KUMAR, AT- D/148, P.C COLONY, KANKARBAGH, Lohia Nagar, Sampatchak, Patna- 800020, Bihar, PATNA, PATNA (Bihar) - 800020",--
179,ASHA SHAKTI FOUNDATION,"U85307BR2023NPL066125
MADHUBANI (Bihar)","Pole Star school Near Power Grid Babubarhi Madhubani 847224, Babubarhi, MADHUBANI (Bihar) - 847224","Art & Culture, Education & Literacy, Health & Family Welfare, Skill Development"
180,ASHANAND FOUNDATION FOR RURAL INNOVATIONS AND SUSTAINABLE EMPOWERMENT,"U88900BR2024NPL068322
DARBHANGA (Bihar)","C/O AMBIKA JHA, WARD NO 2, OPP PINDARUCH HIGH SCHOOL, PINDARUCH, DARBHANGA BIHAR 847306 IN, DARBHANGA, DARBHANGA (Bihar) - 847306",--
181,ASHIRBAD GRAMIN SEWA FOUNDATION,"U94990BR2024NPL069991
GAYA (Bihar)","ward no 11 imamganj raniganj gaya bihar-824210, Gaya Town C.D.Block, GAYA (Bihar) - 824210","Art & Culture, Civic Issues, Education & Literacy, Rural Development & Poverty Alleviation, Sports"
182,ASHMITHA MICROCARE FOUNDATION,"074276
ARARIA (Bihar)","P No 01, Ward No 1, Block, Narpatganj, Chainpur, Bathnaha,, Narpatganj, ARARIA (Bihar) - 854316","Animal Welfare, Drinking Water, Food Processing, Health & Family Welfare, Human Rights, Micro Finance (SHGs), Micro Small & Medium Enterprises, Youth Affairs"
183,ASHRAFI EDUCATIONAL & WELFARE FOUNDATION,"U80902BR2021NPL050104
PATNA (Bihar)","C/oBajar Samiti Near Stadium Viue Patna Bihar, India, 800016., PATNA, PATNA (Bihar) - 800016",--
184,Ashrafia Foundation,"U88900BR2025NPL074994
BANKA (Bihar)","BELARI THANA SHAMBHUGANJ DIS BANKA BIHAR 813211, Shambhuganj, BANKA (Bihar) - 813211","Aged/Elderly, Agriculture, Animal Husbandry, Dairying & Fisheries, Animal Welfare, Art & Culture, Biotechnology, Children, Civic Issues, Differently Abled, Disaster Management, Drinking Water, Education & Literacy, Environment & Forests, Food Processing, Health & Family Welfare, HIV/AIDS, Housing, Human Rights, Information & Communication Technology, Labour & Employment, Land Resources, Legal Awareness & Aid, Micro Finance (SHGs), Micro Small & Medium Enterprises, Minority Issues, New & Renewable Energy, Nutrition, Panchayati Raj"
